iter	RMSE
0	1.001326262
1	0.9815657882
2	0.9625869288
3	0.9445194374
4	0.9261325234
5	0.9089544964
6	0.8937075962
7	0.8777530302
8	0.8623158465
9	0.8474522427
10	0.8331459483
11	0.8195186902
12	0.8066761135
13	0.7934004265
14	0.7810181789
15	0.769643469
16	0.757959963
17	0.7472967617
18	0.736613734
19	0.7267133889
20	0.7173886622
21	0.7078190942
22	0.6987654166
23	0.6903248251
24	0.682213095
25	0.6743035347
26	0.666855544
27	0.6596106293
28	0.6526075011
29	0.6458921267
30	0.6399697492
31	0.6339511864
32	0.6281602962
33	0.6230708988
34	0.6177597346
35	0.6125683092
36	0.6075979218
37	0.6030578109
38	0.5985729011
39	0.5944043703
40	0.5908970318
41	0.5871598428
42	0.5836400844
43	0.5802145871
44	0.5768189613
45	0.5737454364
46	0.5707856469
47	0.5681389794
48	0.5655971716
49	0.5631322907
50	0.56084816
51	0.558448339
52	0.5561507736
53	0.5539458896
54	0.5518518812
55	0.5497972923
56	0.5480138319
57	0.5462102908
58	0.5445087708
59	0.5429453421
60	0.5415346411
61	0.5400440314
62	0.5386766315
63	0.537489104
64	0.5363492649
65	0.5350988478
66	0.5340654291
67	0.5328843622
68	0.5317819572
69	0.5308828855
70	0.5300766945
71	0.5292395802
72	0.5284974007
73	0.5277240941
74	0.5268957021
75	0.5260650409
76	0.5253051589
77	0.5245993999
78	0.5239587103
79	0.5232704038
80	0.5226565328
81	0.521967183
82	0.5213419341
83	0.5208027601
84	0.5203137741
85	0.5197885362
86	0.5192653947
87	0.5187475051
88	0.5182388893
89	0.5177995067
90	0.5173938269
91	0.5168706263
92	0.5165400617
93	0.5161668366
94	0.515746757
95	0.5153846158
96	0.5150639259
97	0.5147485178
98	0.5144201843
99	0.5141306034
100	0.5138416193
101	0.5135645803
102	0.5133352106
103	0.5130467961
104	0.5127084637
105	0.5124707263
106	0.5122370797
107	0.5120007552
108	0.5116986768
109	0.5114869234
110	0.5112601915
111	0.5110198202
112	0.5107483545
113	0.5105353428
114	0.5102992624
115	0.5101427905
116	0.5098778963
117	0.5096624628
118	0.5094721929
119	0.5092317802
120	0.5090480966
121	0.5088654838
122	0.5086845396
123	0.5084770226
124	0.5083530564
125	0.5082175135
126	0.5080249436
127	0.5078712923
128	0.5076942847
129	0.5075352374
130	0.5073479734
131	0.5071969987
132	0.5070433672
133	0.5068586745
134	0.5066691938
135	0.5064814244
136	0.5063814328
137	0.5062180801
138	0.5060689568
139	0.5058948045
140	0.5057791376
141	0.5055775523
142	0.5053987038
143	0.5052088571
144	0.5051251485
145	0.5049912796
146	0.5048784511
147	0.5047417013
148	0.5046548282
149	0.504529981
150	0.5044060602
151	0.504228705
152	0.5040795727
153	0.5039161312
154	0.5037791278
155	0.5036236365
156	0.5034821464
157	0.503321784
158	0.5032444297
159	0.5031188961
160	0.5029922359
161	0.5028377969
162	0.5026987979
163	0.5026221901
164	0.5024469107
165	0.5023600366
166	0.5022492454
167	0.5021445273
168	0.5019962301
169	0.501913786
170	0.5017442707
171	0.5016682375
172	0.5015695156
173	0.5014494116
174	0.5013430041
175	0.5011908515
176	0.5010654891
177	0.5009386254
178	0.5008414167
179	0.5007125509
180	0.5005814992
181	0.5004544524
182	0.5003348497
183	0.5001695402
184	0.500097653
185	0.4999708511
186	0.4998329734
187	0.4997154846
188	0.4996197845
189	0.4995072224
190	0.4993926839
191	0.4992888434
192	0.4992032428
193	0.4990918374
194	0.498965765
195	0.4988269028
196	0.4987519723
197	0.4987001421
198	0.4986009619
199	0.4985266324
200	0.498382178
201	0.4982713916
202	0.4981607061
203	0.4980352721
204	0.4979255738
205	0.4978467394
206	0.4977795689
207	0.4976764396
208	0.4976034882
209	0.4975031056
210	0.4974297958
211	0.4972722472
212	0.497185292
213	0.4971033153
214	0.4970213665
215	0.4968829912
216	0.4967728691
217	0.4966600727
218	0.4965609801
219	0.4964789015
220	0.4963291585
221	0.4962420048
222	0.4961570871
223	0.4960586963
224	0.4959374953
225	0.4958529609
226	0.4957095807
227	0.4956195137
228	0.4955190572
229	0.495423863
230	0.4953313293
231	0.4952572514
232	0.4951266552
233	0.4950684366
234	0.495008041
235	0.4949132255
236	0.494839236
237	0.4947563879
238	0.4946698701
239	0.4945351476
240	0.4944708406
241	0.4943904681
242	0.4942819515
243	0.4942061247
244	0.4941600214
245	0.4940550413
246	0.4939601671
247	0.4938854783
248	0.493805933
249	0.4937199076
250	0.4935611116
251	0.4934608717
252	0.4933084528
253	0.4931556466
254	0.4930821471
255	0.4929961825
256	0.4928419113
257	0.4927162217
258	0.4926405973
259	0.4925409133
260	0.4924603761
261	0.4923969705
262	0.4923153993
263	0.49220678
264	0.4920750248
265	0.4920146211
266	0.4919036288
267	0.4918008119
268	0.4917135493
269	0.4916086741
270	0.4914414376
271	0.4913239437
272	0.4912138095
273	0.4911000145
274	0.491018843
275	0.4908660437
276	0.4907853816
277	0.4907080452
278	0.4905861182
279	0.4904510932
280	0.4903411078
281	0.4902179404
282	0.4901372604
283	0.4900219607
284	0.4899249408
285	0.489850086
286	0.4897330491
287	0.4896488854
288	0.4895516461
289	0.4894411919
290	0.4893430501
291	0.4891683016
292	0.4890342779
293	0.4889348008
294	0.4888732085
295	0.4887679668
296	0.4886097181
297	0.4885243533
298	0.48842407
299	0.4883129966
300	0.4881692271
301	0.4880954537
302	0.4880286081
303	0.4879606482
304	0.4878443464
305	0.487704065
306	0.4876247231
307	0.4875218406
308	0.487352769
309	0.4872531592
310	0.4871426827
311	0.4870360699
312	0.4869344037
313	0.4868398837
314	0.4867374409
315	0.486631692
316	0.4864917702
317	0.4863817646
318	0.4862860072
319	0.486207261
320	0.486066697
321	0.4859418737
322	0.4858229855
323	0.4857208596
324	0.4855957057
325	0.4854881286
