iter	Passed	Remaining
0	2	7016
1	4	6863
2	6	6855
3	8	6491
4	11	6801
5	13	6877
6	16	6946
7	18	6992
8	21	7020
9	23	7045
10	26	7072
11	28	7071
12	30	7053
13	33	7063
14	35	7063
15	37	7067
16	40	7088
17	42	7087
18	45	7073
19	47	7055
20	49	7051
21	52	7042
22	54	7037
23	56	7025
24	190	22619
25	193	22180
26	224	24691
27	226	24022
28	228	23399
29	233	23136
30	239	22936
31	241	22433
32	244	21949
33	246	21498
34	248	21071
35	251	20680
36	253	20311
37	258	20117
38	261	19816
39	265	19621
40	269	19448
41	272	19208
42	275	18913
43	277	18620
44	279	18349
45	281	18092
46	283	17842
47	286	17606
48	288	17380
49	291	17169
50	293	16960
51	295	16769
52	298	16579
53	300	16404
54	303	16231
55	308	16236
56	312	16152
57	316	16051
58	319	15901
59	320	15711
60	322	15555
61	325	15407
62	327	15260
63	329	15119
64	331	14985
65	334	14857
66	336	14731
67	338	14612
68	341	14498
69	343	14386
70	345	14249
71	347	14150
72	350	14058
73	353	13960
74	355	13865
75	357	13766
76	360	13681
77	362	13591
78	365	13502
79	367	13415
80	369	13332
81	372	13247
82	374	13164
83	376	13083
84	379	13010
85	381	12935
86	384	12860
87	386	12788
88	388	12718
89	391	12651
90	393	12583
91	396	12518
92	398	12454
93	401	12397
94	403	12338
95	405	12278
96	408	12219
97	410	12160
98	413	12102
99	415	12046
100	418	11998
101	420	11943
102	422	11890
103	425	11837
104	427	11785
105	429	11732
106	432	11684
107	434	11637
108	437	11592
109	439	11546
110	441	11499
111	444	11453
112	446	11410
113	448	11365
114	451	11321
115	453	11278
116	456	11239
117	458	11198
118	461	11161
119	463	11119
120	465	11082
121	468	11043
122	473	11063
123	475	11035
124	478	10994
125	480	10956
126	482	10919
127	485	10883
128	487	10848
129	489	10814
130	492	10780
131	494	10745
132	496	10712
133	499	10681
134	501	10648
135	504	10614
136	506	10581
137	508	10550
138	511	10520
139	513	10492
140	516	10463
141	518	10435
142	520	10407
143	523	10378
144	525	10347
145	527	10319
146	530	10292
147	532	10266
148	535	10237
149	537	10211
150	539	10187
151	542	10160
152	544	10134
153	546	10108
154	549	10083
155	551	10061
156	554	10037
157	556	10011
158	558	9986
159	561	9962
160	563	9939
161	566	9915
162	568	9892
163	570	9870
164	573	9848
165	575	9825
166	577	9803
167	580	9781
168	582	9760
169	585	9739
170	587	9720
171	590	9701
172	592	9680
173	594	9662
174	597	9643
175	599	9625
176	602	9608
177	604	9589
178	607	9568
179	609	9551
180	612	9537
181	614	9518
182	617	9500
183	619	9479
184	621	9461
185	624	9440
186	626	9422
187	628	9404
188	631	9387
189	633	9370
190	635	9351
191	638	9332
192	640	9315
193	642	9299
194	645	9286
195	648	9270
196	650	9254
197	652	9236
198	655	9219
199	657	9203
200	659	9185
201	662	9170
202	664	9156
203	666	9140
204	669	9123
205	671	9107
206	673	9092
207	676	9078
208	678	9063
209	681	9050
210	683	9035
211	685	9020
212	688	9004
213	690	8989
214	692	8975
215	695	8959
216	697	8944
217	699	8928
218	701	8913
219	704	8900
220	706	8885
221	709	8872
222	711	8859
223	713	8847
224	716	8834
225	718	8824
226	721	8811
227	723	8798
228	726	8785
229	728	8773
230	730	8759
231	733	8746
232	735	8733
233	737	8720
234	739	8706
235	742	8692
236	744	8679
237	746	8667
238	749	8654
239	751	8642
240	753	8630
241	756	8619
242	758	8607
243	760	8595
244	763	8583
245	765	8572
246	768	8561
247	770	8552
248	772	8539
249	775	8528
250	777	8516
251	779	8505
252	782	8494
253	784	8483
254	787	8473
255	789	8463
256	792	8453
257	794	8444
258	796	8434
259	799	8424
260	801	8413
261	804	8402
262	806	8391
263	808	8380
264	811	8370
265	813	8359
266	815	8347
267	817	8336
268	820	8326
269	822	8315
270	824	8304
271	827	8295
272	829	8289
273	832	8279
274	834	8269
275	836	8259
276	839	8250
277	841	8242
278	844	8232
279	846	8223
280	848	8213
281	851	8203
282	853	8194
283	855	8185
284	858	8177
285	860	8168
286	863	8160
287	865	8151
288	867	8141
289	870	8132
290	872	8123
291	874	8113
292	877	8105
293	879	8096
294	881	8086
295	884	8077
296	886	8069
297	888	8060
298	891	8050
299	893	8041
300	896	8039
301	900	8044
302	902	8037
303	905	8028
304	907	8019
305	909	8011
306	912	8002
307	914	7994
308	916	7985
309	919	7976
310	921	7967
311	923	7958
312	926	7950
313	928	7941
314	930	7932
315	932	7924
316	935	7917
317	937	7910
318	940	7903
319	942	7895
320	945	7889
321	947	7881
322	950	7873
323	952	7865
324	954	7856
325	956	7848
